[+] El directorio ya está creado...
{"ok":true,"result":{"message_id":40,"from":{"id":5291565375,"is_bot":true,"first_name":"Robocop","username":"Stilubot"},"chat":{"id":857644731,"first_name":"Juanjo","username":"konguele","type":"private"},"date":1649412063,"text":"He sido configurado"}}Fri Apr  8 12:01:07 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:56:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:57:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:57:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:58:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:58:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:59:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:59:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:00:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:00:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:01:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:01:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:02:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:02:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:02:40 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:03:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:03:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:03:23 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:03:50 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:04:02 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:04:02 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:05:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:05:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:06:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:06:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:07:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:07:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:07:28 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:08:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:08:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:09:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:09:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:09:41 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:10:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:10:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:11:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:11:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:11:42 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:12:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:12:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:13:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:13:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:14:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:14:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:14:06 CEST 2022 Llamada a Robocop...
{"ok":false,"error_code":400,"description":"Bad Request: chat_id is empty"}Fri Apr  8 13:15:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:15:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:16:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:16:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:17:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:17:01 CEST 2022 Llamada a Robocop...
